Acebeda (La),3.019213174748399,21.86
Ajalvir,225,19.8
Alameda del Valle,7.743190661478599,25.7
Alamo (El),415.8636363636364,22
Alcalá de Henares,2205.311542390193,88.11000000000004
Alcobendas,2538.992042440319,45.23999999999999
Alcorcón,5008.668453976766,33.56999999999999
Aldea del Fresno,50.63879210220674,51.66
Algete,537.2007366482505,38.01
Alpedrete,1124.8025276461294,12.66
Ambite,13.12015503875969,51.6
Anchuelo,57.34136174154701,21.59
Aranjuez,307.9889952912544,189.01000000000002
Arganda del Rey,670.4995639715959,80.27
Arroyomolinos,1401.732435033686,20.780000000000005
Atazar (El),3.4118888498065423,28.43
Batres,75.374531835206,21.36
Becerril de la Sierra,184.1093117408907,29.64
Belmonte de Tajo,67.63606148732862,24.07
Berzosa del Lozoya,13.885088919288647,14.62
Berrueco (El),26.161971830985916,28.4
Boadilla del Monte,1086.1756015196281,47.38000000000002
Boalo (El),186.751269035533,39.4
Braojos,8.34336141195347,24.93
Brea de Tajo,12.050078247261347,44.73
Brunete,210.96196868008948,49.17
Buitrago del Lozoya,71.52777777777777,25.92
Bustarviejo,42.740067699982184,56.13
Cabanillas de la Sierra,51.556842867487326,13.81
Cabrera (La),116.07949412827462,22.14
Cadalso de los Vidrios,63.81688963210702,47.84
Camarma de Esteruelas,201.5362731152205,35.15
Campo Real,97.08502024291498,61.75
Canencia,8.268733850129198,54.18
Carabaña,40.72208228379513,47.64
Casarrubuelos,684.8030018761726,5.33
Cenicientos,29.06959706959707,68.25
Cercedilla,167.88339049485546,40.82
Cervera de Buitrago,13.518197573656847,11.54
Ciempozuelos,480.40882412467124,49.40999999999999
Cobeña,344.54064454064456,20.79
Colmenar del Arroyo,33.09673494220239,49.31
Colmenar de Oreja,61.82221166785403,126.33000000000001
Colmenarejo,286.2813591616386,31.490000000000002
Colmenar Viejo,265.82458442694656,182.88000000000005
Collado Mediano,300.405588102749,22.19
Collado Villalba,2467.3283048828903,25.189999999999998
Corpa,26.36854279105628,25.94
Coslada,6906.073211314479,12.019999999999996
Cubas de la Sagra,474.1660201706749,12.89
Chapinería,87.08414872798434,25.55
Chinchón,45.254339753001126,115.78999999999999
Daganzo de Arriba,232.30414746543775,43.400000000000006
Escorial (El),226.15898851911058,68.81
Estremera,15.935801845065084,79.13
Fresnedillas de la Oliva,54.69301340860974,28.34
Fresno de Torote,66.61417322834646,31.75
Fuenlabrada,4968.580908626851,39.17999999999999
Fuente el Saz de Jarama,193.78582202111616,33.15
Fuentidueña de Tajo,32.901296111665005,60.18
Galapagar,504.64723926380367,65.2
Garganta de los Montes,8.207289858666005,40.33
Gargantilla del Lozoya y Pinilla de Buitrago,13.027295285359802,24.18
Gascones,8.769307424015944,20.07
Getafe,2268.5837892861678,78.59000000000003
Griñón,588.6483323581043,17.089999999999996
Guadalix de la Sierra,100.38167938931298,60.26
Guadarrama,273.172437915355,57.18000000000001
Hiruela (La),3.0303030303030303,17.16
Horcajo de la Sierra-Aoslos,6.69811320754717,21.2
Horcajuelo de la Sierra,3.692824171212757,23.83
Hoyo de Manzanares,177.5812513818262,45.230000000000004
Humanes de Madrid,997.3041709053919,19.659999999999997
Leganés,4342.354846171637,43.230000000000025
Loeches,192.35108303249098,44.32
Lozoya,9.68972092217022,57.69
Madarcos,5.380116959064327,8.55
Madrid ,5264.0839480038385,604.6599999999999
Majadahonda,1853.366259422927,38.47
Manzanares el Real,66.24581092666199,128.31
Meco,388.4912682507873,34.93
Mejorada del Campo,1279.8661461238148,17.93
Miraflores de la Sierra,103.13829787234042,56.400000000000006
Molar (El),169.1771269177127,50.19
Molinos (Los),226.77453027139876,19.16
Montejo de la Sierra,11.062771908017401,32.18
Moraleja de Enmedio,156.2399743342958,31.17
Moralzarzal,286.86868686868684,43.56
Morata de Tajuña,165.2020313534997,45.28999999999999
Móstoles,4601.0913140311795,44.90000000000001
Navacerrada,105.19810977826245,27.51
Navalafuente,110.01642036124795,12.18
Navalagamella,32.24656810982049,75.76
Navalcarnero,273.4034113447044,100.84000000000002
Navarredonda y San Mamés,4.6013347383210395,28.47
Navas del Rey,54.4644624826767,50.51
Nuevo Baztán,303.0348258706467,20.1
Olmeda de las Fuentes,20.09685230024213,16.52
Orusco de Tajuña,57.02247191011236,21.36
Paracuellos de Jarama,546.0255824577432,43.78
Parla,5031.894484412471,25.019999999999996
Patones,15.768463073852296,35.07
Pedrezuela,196.67133847231955,28.54
Pelayos de la Presa,326.0237780713342,7.57
Perales de Tajuña,57.40778479722845,49.07
Pezuela de las Torres,19.57773512476008,41.68
Pinilla del Valle,7.269155206286837,25.45
Pinto,813.843175217812,61.98000000000001
Piñuecar-Gandullas,10.032894736842106,18.24
Pozuelo de Alarcón,1986.1948955916469,43.10000000000001
Pozuelo del Rey,35.55483662245228,30.91
Prádena del Rincón,5.866666666666666,22.5
Puebla de la Sierra,1.0760275180807903,56.69
Quijorna,127.80373831775701,25.68
Rascafría,11.20042872454448,149.28
Redueña,19.033000767459708,13.03
Ribatejada,21.828358208955226,32.16
Rivas-Vaciamadrid,1242.2808838795786,67.43
Robledillo de la Jara,4.138915318744053,21.02
Robledo de Chavela,43.2607541157727,94.15
Robregordo,2.3978201634877383,18.35
Rozas de Madrid (Las),1631.2800274536714,58.280000000000015
Rozas de Puerto Real,18.071065989847714,29.55
San Agustín del Guadalix,342.8309785452642,38.220000000000006
San Fernando de Henares,1021.6529351184345,38.84
San Lorenzo de El Escorial,319.68783256473927,56.379999999999995
San Martín de la Vega,179.1056137012369,105.10000000000001
